,Accx,Accy,Accz,Gyrx,Gyry,Gyrz,Entr
81,-4.309989824,0.20157594,5.624851911,-0.00233,0.00116,-0.00814,3
82,-4.241984362,0.382648481,5.312825042,-0.00116,-0.00233,-0.01047,3
83,-4.378392659,0.306614261,5.118498091,-0.00698,-0.00233,-0.01164,3
84,-4.760394335,0.516949374,4.78407073,0.00233,0.00116,-0.00814,3
85,-4.834796971,0.559450029,4.5284121,-0.00233,0,-0.00582,3
86,-4.548302724,0.629906303,4.475180224,0.00233,-0.00116,-0.0128,3
87,-4.704597201,0.794572344,4.266947778,0.00233,-0.00116,-0.00698,3
88,-4.62881006,1.06292848,3.767334327,0.00465,0.00349,-0.00814,3
89,-4.469286882,1.244019737,3.378612638,0.00349,0,-0.00814,3
90,-4.51607255,1.130359806,3.308330566,0,-0.00233,-0.00698,3
91,-4.312584415,1.060310591,3.115097932,0.00465,0.00233,-0.01047,3
92,-4.226317521,1.140437408,3.14166208,-0.00349,-0.00465,-0.00582,3
93,-4.039837123,0.782302573,3.377534952,-0.04189,0.00465,-0.01047,3
94,-3.912290768,0.374056235,3.371731936,-0.1466,0.00814,-0.01164,3
95,-3.685519775,0.130369806,3.692573911,-0.22689,0.00814,-0.01513,3
96,-3.785993782,-0.056334354,3.783817015,-0.28623,0.01396,-0.01978,3
97,-3.868576167,-0.135028981,3.995068656,-0.28855,0.0128,-0.01862,3
98,-3.984532363,0.08762048,4.33144953,-0.27226,0.01513,-0.01978,3
99,-4.028183953,0.090817081,4.644705745,-0.25016,0.01164,-0.01978,3
100,-3.955356397,0.036944758,4.713835697,-0.17104,0.01047,-0.01513,3
101,-3.881213417,0.207409134,4.432722017,-0.04654,0.00233,-0.00931,3
102,-3.870415596,0.245143303,4.860131078,0.09075,-0.00233,-0.00116,3
103,-3.988765345,0.670447181,5.034748736,0.22689,-0.01164,0.00233,3
104,-3.934225149,0.473209069,5.210992826,0.38396,-0.02327,0.00814,3
105,-3.792102765,0.57922606,5.031644037,0.55034,-0.02909,0.01164,3
106,-3.898328835,0.375540385,5.395601842,0.70393,-0.05236,0.00465,3
107,-3.980611028,0.626885443,5.53037791,-0.00116,-0.0256,-0.07097,3
108,-4.114573815,0.758539719,5.562883184,-0.15242,-0.11868,-0.15242,3
109,-3.8877401,0.885524308,5.876802729,-0.02909,-0.01862,-0.01047,3
110,-3.816642934,0.691797365,5.807378573,0.07679,-0.00465,-0.00931,3
111,-3.830333528,0.794474471,5.980901527,0.10704,0.08028,0.01164,3
112,-3.626803071,0.881837539,5.97003009,-0.0861,-0.07447,-0.02443,3
113,-3.489823885,0.733693165,5.65363995,-0.02443,0,-0.00931,3
114,-3.708182551,0.827163151,5.513453526,0.0384,-0.00233,-0.00814,3
115,-3.728046243,0.863146582,5.315011935,-0.00349,-0.00931,-0.00814,3
116,-3.744494584,1.099943218,5.20319695,-0.04654,0.01047,-0.01862,3
117,-3.582185189,1.201975031,5.243809,-0.07912,0.01629,-0.02211,3
118,-3.562232504,1.017050712,5.28397176,-0.1245,0.01047,-0.01629,3
119,-3.733297091,0.921734676,4.840382279,-0.16638,0.01396,-0.01047,3
120,-3.965485492,0.896492915,4.892047892,-0.18035,0.0128,-0.02094,3
121,-3.81546353,1.013186328,4.852611135,-0.20711,0.01164,-0.01513,3
122,-3.677346796,1.237938055,4.731252627,-0.2455,0.0128,-0.01978,3
123,-3.66666857,0.933630637,4.703881,-0.19663,0.00931,-0.0128,3
124,-3.787199102,0.816944461,4.585393107,-0.06981,0.00465,-0.00698,3
125,-3.751023333,0.828432674,4.626244707,0.06283,-0.00465,-0.00698,3
126,-3.968990204,1.045458578,4.603717155,0.17336,-0.00582,-0.00116,3
127,-4.117864409,0.921086335,4.243930893,0.30251,-0.01396,0.00931,3
128,-4.357371672,0.964084146,4.197010694,0.3956,-0.01978,0.00582,3
129,-4.602124921,1.254001864,4.422328848,0.49915,-0.0384,0.0128,3
130,-4.723737072,1.336230169,4.405659222,0.16173,-0.20129,-0.03374,3
131,-4.832787732,1.032796666,4.640270257,-0.16987,-0.04538,-0.07563,3
132,-4.850346424,0.92801699,4.706999968,-0.08145,0.00582,0.00116,3
133,-5.12908827,0.732503862,4.826958881,-0.07912,0.00582,-0.00814,3
134,-5.297335133,0.794614654,4.7058532,-0.10355,0.00698,-0.01629,3
135,-5.300672077,0.842273657,4.471369904,-0.09075,0.00814,-0.0128,3
136,-5.199374877,0.875086701,4.448945235,-0.05003,0.00233,-0.01513,3
137,-5.309723848,0.626022779,4.319912483,0.05119,-0.00582,-0.00349,3
138,-5.509604645,0.572836777,4.288381579,0.1594,-0.00814,-0.00582,3
139,-5.533997968,0.310783606,4.599366932,0.23154,-0.02909,0.00698,3
140,-5.569010638,0.186555054,4.980492199,0.15824,0.11984,0.01513,3
141,-5.742512711,-0.13818298,5.068426945,-0.15242,-0.1338,-0.03723,3
142,-5.83279735,-0.09268046,5.065928914,-0.18384,-0.10704,0.04072,3
143,-5.99554681,-0.070066072,5.221246608,-0.16638,-0.13031,0.0861,3
144,-6.124440508,-0.013221132,5.494153286,-0.12333,-0.13846,0.09308,3
